ID	Forward	Reverse	home_location	home_sequence	hybrid
WT78_SB	WT78_SB_Fw	WT78_SB_Rv	WT78_PB	pJOYC037	CAST-129S
WT79_SB	WT79_SB_Fw	WT79_SB_Rv	WT79_PB	pJOYC037	CAST-129S
WT83_SB	WT83_SB_Fw	WT83_SB_Rv	WT83_PB	pJOYC037	CAST-129S
WT78_PB	WT78_PB_Fw	WT78_PB_Rv	-	-	CAST-129S
WT79_PB	WT79_PB_Fw	WT79_PB_Rv	-	-	CAST-129S
WT83_PB	WT83_PB_Fw	WT83_PB_Rv	-	-	CAST-129S
41_PB	10.44.41_PB_Fw	10.44.41_PB_Rv	-	-	CAST-129S
42_PB	10.44.42_PB_Fw	10.44.42_PB_Rv	-	-	CAST-129S
43_PB	10.44.43_PB_Fw	10.44.43_PB_Rv	-	-	CAST-129S
41_SB	10.44.41_SB_Fw	10.44.41_SB_Rv	41_PB	pJOYC037	CAST-129S
42_SB	10.44.42_SB_Fw	10.44.42_SB_Rv	42_PB	pJOYC037	CAST-129S
43_SB	10.44.43_SB_Fw	10.44.43_SB_Rv	43_PB	pJOYC037	CAST-129S
41_recPB	10.44.41_recPB_Fw	10.44.41_recPB_Rv	41_PB	pJOYC037	CAST-129S
42_recPB	10.44.42_recPB_Fw	10.44.42_recPB_Rv	42_PB	pJOYC037	CAST-129S
43_recPB	10.44.43_recPB_Fw	10.44.43_recPB_Rv	43_PB	pJOYC037	CAST-129S
41_recSB	10.44.41_recSB_Fw	10.44.41_recSB_Rv	41_PB	pJOYC037	CAST-129S
42_recSB	10.44.42_recSB_Fw	10.44.42_recSB_Rv	42_PB	pJOYC037	CAST-129S
43_recSB	10.44.43_recSB_Fw	10.44.43_recSB_Rv	43_PB	pJOYC037	CAST-129S
