ID	Forward	Reverse	home_location	home_sequence	hybrid
F1_1.3_colony_SB	F1_1.3_colony_SB_Fw	-	-	-	-
F1_1.3_B2_SB	F1_1.3_B2_SB_Fw	-	-	-	-
F1_1.3_B12_SB	F1_1.3_B12_SB_Fw	-	-	-	-
F1_2.7_colony_SB	F1_2.7_colony_SB_Fw	F1_2.7_colony_SB_Rv	-	-	-
F1_2.7_A6_SB	F1_2.7_A6_SB_Fw	F1_2.7_A6_SB_Rv	-	-	-
F1_2.7_A7_SB	F1_2.7_A7_SB_Fw	F1_2.7_A7_SB_Rv	-	-	-
F1_2.7_A10_SB	F1_2.7_A10_SB_Fw	F1_2.7_A10_SB_Rv	-	-	-
F1_2.7_B10_SB	F1_2.7_B10_SB_Fw	F1_2.7_B10_SB_Rv	-	-	-
F1_2.7_F12_SB	F1_2.7_F12_SB_Fw	F1_2.7_F12_SB_Rv	-	-	-
F1_2.7_hop_SB	F1_2.7_hop_SB_Fw	F1_2.7_hop_SB_Rv	-	-	-
