ID	Forward	Reverse	home_location	home_sequence	hybrid
P4_1	P4_1_Fw	P4_1_Rv	-	-	-
P4_2	P4_2_Fw	P4_2_Rv	-	-	-
P4_3	P4_3_Fw	P4_3_Rv	-	-	-
P5_1	P5_1_Fw	P5_1_Rv	-	-	-
P5_2	P5_2_Fw	P5_2_Rv	-	-	-
P5_3	P5_3_Fw	P5_3_Rv	-	-	-
P6_1	P6_1_Fw	P6_1_Rv	-	-	-
P6_2	P6_2_Fw	P6_2_Rv	-	-	-
P6_3	P6_3_Fw	P6_3_Rv	-	-	-
F7_1	F7_1_Fw	F7_1_Rv	-	-	-
F7_2	F7_2_Fw	F7_2_Rv	-	-	-
F7_3	F7_3_Fw	F7_3_Rv	-	-	-
P4_4	P4_4_Fw	P4_4_Rv	-	-	-
P5_4	P5_4_Fw	P5_4_Rv	-	-	-
P6_4	P6_4_Fw	P6_4_Rv	-	-	-
F7_4	F7_4_Fw	F7_4_Rv	-	-	-
P4_5	P4_5_Fw	P4_5_Rv	-	-	-
P5_5	P5_5_Fw	P5_5_Rv	-	-	-
