ID	Forward	Reverse	home_location	home_sequence	hybrid
1-10	1-10_Fwd	1-10_Rev	-	-	-
1-11	1-11_Fwd	1-11_Rev	-	-	-
1-12	1-12_Fwd	1-12_Rev	-	-	-
1-13	1-13_Fwd	1-13_Rev	-	-	-
1-14	1-14_Fwd	1-14_Rev	-	-	-
1-15	1-15_Fwd	1-15_Rev	-	-	-
1-16	1-16_Fwd	1-16_Rev	-	-	-
1-17	1-17_Fwd	1-17_Rev	-	-	-
1-19	1-19_Fwd	1-19_Rev	-	-	-
1-20	1-20_Fwd	1-20_Rev	-	-	-
1-21	1-21_Fwd	1-21_Rev	-	-	-
1-01	1-01_Fwd	1-01_Rev	-	-	-
1-22	1-22_Fwd	1-22_Rev	-	-	-
1-23	1-23_Fwd	1-23_Rev	-	-	-
1-24	1-24_Fwd	1-24_Rev	-	-	-
2-01	2-01_Fwd	2-01_Rev	-	-	-
2-02	2-02_Fwd	2-02_Rev	-	-	-
2-03	2-03_Fwd	2-03_Rev	-	-	-
2-04	2-04_Fwd	2-04_Rev	-	-	-
2-05	2-05_Fwd	2-05_Rev	-	-	-
2-06	2-06_Fwd	2-06_Rev	-	-	-
2-07	2-07_Fwd	2-07_Rev	-	-	-
2-08	2-08_Fwd	2-08_Rev	-	-	-
2-09	2-09_Fwd	2-09_Rev	-	-	-
2-10	2-10_Fwd	2-10_Rev	-	-	-
2-11	2-11_Fwd	2-11_Rev	-	-	-
2-13	2-13_Fwd	2-13_Rev	-	-	-
2-14	2-14_Fwd	2-14_Rev	-	-	-
2-15	2-15_Fwd	2-15_Rev	-	-	-
2-16	2-16_Fwd	2-16_Rev	-	-	-
2-17	2-17_Fwd	2-17_Rev	-	-	-
2-18	2-18_Fwd	2-18_Rev	-	-	-
2-19	2-19_Fwd	2-19_Rev	-	-	-
2-20	2-20_Fwd	2-20_Rev	-	-	-
2-21	2-21_Fwd	2-21_Rev	-	-	-
2-22	2-22_Fwd	2-22_Rev	-	-	-
2-23	2-23_Fwd	2-23_Rev	-	-	-
2-24	2-24_Fwd	2-24_Rev	-	-	-
3-01	3-01_Fwd	3-01_Rev	-	-	-
3-02	3-02_Fwd	3-02_Rev	-	-	-
3-03	3-03_Fwd	3-03_Rev	-	-	-
3-04	3-04_Fwd	3-04_Rev	-	-	-
3-05	3-05_Fwd	3-05_Rev	-	-	-
3-06	3-06_Fwd	3-06_Rev	-	-	-
3-07	3-07_Fwd	3-07_Rev	-	-	-
3-09	3-09_Fwd	3-09_Rev	-	-	-
3-10	3-10_Fwd	3-10_Rev	-	-	-
3-11	3-11_Fwd	3-11_Rev	-	-	-
3-12	3-12_Fwd	3-12_Rev	-	-	-
3-13	3-13_Fwd	3-13_Rev	-	-	-
3-14	3-14_Fwd	3-14_Rev	-	-	-
3-15	3-15_Fwd	3-15_Rev	-	-	-
3-16	3-16_Fwd	3-16_Rev	-	-	-
3-17	3-17_Fwd	3-17_Rev	-	-	-
3-18	3-18_Fwd	3-18_Rev	-	-	-
3-19	3-19_Fwd	3-19_Rev	-	-	-
3-20	3-20_Fwd	3-20_Rev	-	-	-
3-21	3-21_Fwd	3-21_Rev	-	-	-
3-22	3-22_Fwd	3-22_Rev	-	-	-
3-23	3-23_Fwd	3-23_Rev	-	-	-
3-24	3-24_Fwd	3-24_Rev	-	-	-
4-01	4-01_Fwd	4-01_Rev	-	-	-
4-02	4-02_Fwd	4-02_Rev	-	-	-
4-06	4-06_Fwd	4-06_Rev	-	-	-
4-08	4-08_Fwd	4-08_Rev	-	-	-
4-10	4-10_Fwd	4-10_Rev	-	-	-
4-12	4-12_Fwd	4-12_Rev	-	-	-
4-14	4-14_Fwd	4-14_Rev	-	-	-
4-16	4-16_Fwd	4-16_Rev	-	-	-
4-18	4-18_Fwd	4-18_Rev	-	-	-
4-20	4-20_Fwd	4-20_Rev	-	-	-
4-22	4-22_Fwd	4-22_Rev	-	-	-
4-24	4-24_Fwd	4-24_Rev	-	-	-
1-02	1-02_Fwd	1-02_Rev	-	-	-
1-03	1-03_Fwd	1-03_Rev	-	-	-
1-04	1-04_Fwd	1-04_Rev	-	-	-
1-05	1-05_Fwd	1-05_Rev	-	-	-
1-06	1-06_Fwd	1-06_Rev	-	-	-
1-07	1-07_Fwd	1-07_Rev	-	-	-
1-08	1-08_Fwd	1-08_Rev	-	-	-
1-09	1-09_Fwd	1-09_Rev	-	-	-
RSTP2_B	RSTP2_B_Fwd	RSTP2_B_Rev	-	-	-
